FlightDate,Airline,Origin,Dest,CRSDepTime,CRSArrTime,Distance,DepDelayMinutes,DepDel15,DepartureDelayGroups,TaxiOut,AirTime,ArrDelayMinutes
2022-02-22,SkyWest Airlines Inc.,MSP,PSC,1800,1953,1254.0,86.#|0,1.0,5.0,41.0,178.0,77.0
2022-06-02,Alaska Airlines Inc.,SEA,KOA,1125,1442,2688.0,0.0,0.0,-1.0,22.0,337.0,18.0
2022-07-15,Southwest Airlines Co.,SJU,MCO,530,835,1189.0,0.0,0.0,0.0,17.0,156.0,0.0
2022-02-20,United Air Lines Inc.,ORD,MIA,730,1132,1197.0,0.0,0.0,0.0,21.0,147.0,0.0
2022-03-13,Southwest Airlines Co.,PIT,DEN,1925,2055,1290.0,37.0,1.0,2.0,10.0,190.0,34.0
2022-04-25,Horizon Air,GEG,BOI,1845,2053,287.0,0.0,0.0,-1.0,8.0,56.0,0.0
2022-06-24,Alaska Airlines Inc.,LAX,OGG,928,1215,2486.0,0.0,0.0,-1.0,"2,,9.0",324.0,9.0
2022-03-17,Southwest Airlines Co.,MCO,IND,730,1005,829.0,0.0,0.0,-1.0,11.0,111.0,0.0
2022-02-26,Frontier Airlines Inc.,PHX,DEN,1317,1507,602.0,0.0,0.0,-1.0,24.0,88.0,2.0
2022-05-14,Comair Inc.,DCA,TYS,759,936,437.0,1.0,0.0,0.0,14.0,65.0,0.0
2022-01-27,Republic Airlines,CMH,BOS,1450,1655,640.0,0.0,0.0,-1.0,42.0,89.0,12.0
2022-07-26,JetBlue Airways,JFK,SJU,1659,2054,1598.0,9.0,0.0,0.0,23.0,195.0,0.0
2022-02-04,SkyWest Airlines Inc.,SLC,BIL,1615,1742,387.0,0.0,0.0,-1.0,14.0,60.0,0.0
2022-01-24,JetBlue Airways,RSW,DCA,1741,2000,892.0,0.0,0.0,-1.0,1|2.0,124.0,0.0
2022-05-20,Horizon Air,FAI,ANC,1620,1720,261.0,85.0,1.0,5.0,10.0,46.0,86.0
2022-06-24,United Air Lines Inc.,SFO,SNA,1055,1234,372.0,0.0,0.0,-1.0,16.0,65.0,0.0
2022-05-20,American Airlines Inc.,IAD,CLT,1101,1225,322.0,0.0,0.0,-1.0,15.0,51.0,0.0
2022-04-13,SkyWest Airlines Inc.,FAT,SFO,1238,1339,158.0,0.0,0.0,-1.0,10.0,33.0,0.0
2022-01-12,American Airlines Inc.,AUS,DFW,1235,1346,190.0,0.0,0.0,-1.0,10.0,43.0,0.0
2022-07-19,United Air Lines Inc.,EWR,SFO,630,925,2565.0,117.0,1.0,7.0,23.0,294.0,86.0
2022-04-13,Southwest Airlines Co.,SAN,TUS,1325,1445,368.0,4.0,0.0,0.0,15.0,48.0,0.0
2022-07-06,Comair Inc.,ABE,CLT,600,757,481.0,0.0,0.0,-1.0,12.0,67.0,0.0
2022-07-07,SkyWest Airlines Inc.,TUL,SLC,1945,2130,"9|,26.0",0.0,0.0,-1.0,17.0,138.0,0.0
